Male,Female,SeniorCitizen,Partner,Dependents,LessOneYear,oneToThreeYears,ThreePlusYears,MultipleLines,DSL,FiberOptic,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,PaperlessBilling,CreditCard,BankTransfer,MailedCheck,ElectronicCheck,MonthlyCharges,TotalCharges,Churn
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,44.15,97,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,44.15,144.15,1
0,1,1,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,44.2,3838.75,0
0,1,0,0,0,1,0,0,0,0,1,1,1,0,0,1,1,1,1,0,0,0,44.25,1426.4,1
0,1,1,1,0,1,0,0,1,1,0,1,0,0,1,1,0,1,1,0,0,0,44.3,1752.65,0
0,1,1,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,44.3,633.3,1
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,44.3,1752.55,1
0,1,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,44.35,4707.1,0
1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,44.35,5450.7,0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,44.35,857.25,1
0,1,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,44.35,244.1,0
1,0,0,0,0,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,1,0,44.4,887.35,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,44.4,49.05,0
0,1,0,0,1,1,0,0,0,1,0,1,0,0,1,0,1,1,0,1,0,0,44.4,177.4,0
0,1,0,1,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,44.4,482.25,0
1,0,1,0,0,1,0,0,0,1,0,1,1,0,0,1,1,1,0,0,0,1,44.45,2111.3,0
0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,44.45,79.35,1
0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,44.45,496.9,1
0,1,0,0,0,1,0,0,0,0,1,0,1,1,1,1,1,1,0,1,0,0,44.45,4327.5,0
1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,0,44.5,918.75,0
1,0,0,1,1,1,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,44.55,2570.2,0
1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,44.55,74.7,0
0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,0,0,0,44.55,7107,0
0,1,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,44.55,927.35,1
0,1,1,1,0,1,0,0,0,0,1,0,1,1,0,1,1,1,0,0,0,1,44.55,2514.5,1
1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,44.6,5238.9,1
0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,1,0,0,0,1,44.6,3954.1,0
0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,44.6,2868.15,1
1,0,0,1,1,1,0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,1,44.6,248.4,0
0,1,0,1,1,1,0,0,1,0,1,1,0,0,0,1,1,1,0,0,0,1,44.65,1064.65,1
1,0,0,1,1,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,44.65,2151.6,0
1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,44.65,229.55,1
0,1,0,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,44.65,350.35,0
0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,44.7,2135.5,1
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,44.7,1215.65,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,44.7,81.25,1
0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,44.75,1778.5,0
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,44.75,70.45,1
0,1,0,0,0,1,0,0,1,1,0,1,0,0,1,0,1,0,0,0,0,1,44.75,563.65,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,44.75,45.65,1
1,0,0,1,1,1,0,0,0,1,0,0,1,1,1,0,1,1,0,0,1,0,44.75,1071.4,0
0,1,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,44.8,564.35,0
1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,44.8,655.5,1
0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,44.8,1152.8,0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,44.8,1821.95,0
0,1,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,1,0,0,0,1,44.8,764.55,0
0,1,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,44.85,1592.35,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,44.9,135.2,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,44.9,273,1
0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,0,0,1,44.9,242.8,1
0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,44.9,1145.7,1
0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,44.95,503.6,1
0,1,0,1,1,1,0,0,1,0,1,0,1,1,0,1,1,1,0,1,0,0,44.95,1559.25,0
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,44.95,45.3,0
1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,44.95,662.65,1
0,1,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,1,44.95,1111.65,1
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,45,1023.85,0
0,1,0,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,45,2379.1,0
1,0,0,1,0,1,0,0,0,0,1,0,1,1,0,0,1,1,0,0,0,1,45,531,1
0,1,0,1,0,1,0,0,0,0,1,1,1,0,1,1,0,1,0,0,0,1,45,1901.65,0
1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,0,1,45,6519.75,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,1,0,0,0,45,1112.3,0
1,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,45.05,1033.95,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,45.05,2958.95,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,45.05,79.9,1
0,1,0,0,0,1,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,1,45.05,1934.45,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,45.1,84.5,1
1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,45.1,1975.85,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,45.1,624.6,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,45.15,268.35,1
1,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,45.15,179.35,1
0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,45.15,55.2,1
1,0,0,0,0,1,0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,45.15,2723.15,0
1,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,1,1,1,0,0,0,45.15,4747.5,0
1,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,0,0,1,0,45.2,84.6,1
1,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,45.2,114.1,1
1,0,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,45.2,1305.95,0
0,1,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,0,1,45.2,1120.3,1
0,1,1,1,0,1,0,0,0,0,1,1,1,1,0,0,1,0,0,0,0,1,45.25,6126.15,0
0,1,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,1,45.25,731.3,0
1,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,45.25,273.4,0
1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,45.25,1074.3,1
1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,45.3,48.55,1
0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,45.3,147.15,1
0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,45.3,80.55,1
1,0,1,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,45.3,1364.3,1
1,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,1,45.3,4925.35,0
0,1,1,0,0,1,0,0,0,0,1,1,1,0,1,1,1,1,0,0,1,0,45.3,2007.25,0
0,1,1,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,45.35,1511.2,1
1,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,45.35,2172.05,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,45.35,70.6,1
1,0,0,1,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,45.4,401.1,1
0,1,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,45.4,5624.85,1
1,0,1,1,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,45.4,1339.8,0
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,45.4,244.75,0
0,1,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,45.45,322.9,0
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,45.45,498.25,0
0,1,0,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,45.45,3687.75,0
1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,0,0,0,1,0,45.5,1779.95,1
0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,45.55,927.15,0
1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,45.55,70,1
1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,45.55,606.55,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,45.6,435.4,1
1,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,45.6,1712.7,1
0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,45.65,567.8,0
1,0,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,45.65,3437.5,0
1,0,0,1,1,1,0,0,1,1,0,0,0,1,0,1,1,1,0,0,0,1,45.65,3015.75,0
0,1,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,45.65,73.6,1
0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,45.65,396.1,1
1,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,1,45.65,356.65,0
1,0,0,0,1,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,1,0,45.7,3141.7,0
1,0,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,45.7,2303.35,1
1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,1,45.7,3741.85,0
0,1,0,0,0,1,0,0,0,0,1,1,0,0,1,0,1,1,0,0,0,1,45.75,1886.25,0
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,45.75,341.6,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,45.8,415.55,1
1,0,1,1,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,45.8,2231.05,1
1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,45.8,3236.35,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,45.85,44.8,0
0,1,0,1,0,1,0,0,1,0,1,0,1,0,1,1,1,1,1,0,0,0,45.85,5138.1,0
0,1,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,45.85,880.05,0
0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,45.85,139.05,1
0,1,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1,0,0,0,45.85,1470.05,0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,45.9,511.25,1
0,1,0,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,45.9,155.8,1
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,45.9,3565.65,0
1,0,0,1,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,45.95,6603,1
0,1,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,45.95,1830.1,0
0,1,0,1,1,1,0,0,1,1,0,1,1,1,0,0,0,1,0,1,0,0,46,4508.65,0
0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,46,72.1,0
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,46,168.2,1
0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,46,574.35,0
1,0,0,1,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,1,0,0,46,371.9,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,46,846,1
0,1,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1,46.05,889,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,46.1,1373.05,0
1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,0,0,1,0,0,46.2,492.55,1
1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,1,0,0,46.3,1406,0
1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,46.3,181.5,1
1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,1,0,0,0,46.3,3646.8,0
0,1,0,1,0,1,0,0,1,0,1,0,0,1,1,1,1,1,0,1,0,0,46.6,2566.5,1
1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,47.15,50.65,1
1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,1,1,0,0,0,47.8,90.85,1
0,1,1,1,0,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,0,1,47.95,4874.7,1
1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0,0,1,0,48.2,4063,0
1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,48.45,44,0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,1,0,0,48.55,2595.25,0
1,0,1,1,0,1,0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,48.55,2309.55,0
0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,48.6,89.3,0
0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,1,1,1,0,0,0,1,48.6,3944.5,0
1,0,1,1,0,1,0,0,1,0,1,1,0,1,1,1,1,1,0,1,0,0,48.65,3694.7,0
0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,48.7,2524.45,1
1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,1,1,0,0,0,48.75,7007.6,1
1,0,1,1,1,1,0,0,0,0,1,0,1,0,0,1,1,1,0,0,1,0,48.75,2861.45,0
1,0,1,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,48.8,233.7,1
0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,48.8,2149.05,0
1,0,0,0,0,1,0,0,1,0,1,0,1,1,1,0,0,1,0,0,0,1,48.8,4473,0
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,48.8,3545.05,0
0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,48.8,1195.75,0
0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,48.8,1845.9,1
0,1,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,48.8,75.3,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,48.85,515.45,0
0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,48.85,2838.55,0
0,1,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,1,48.95,858.6,0
1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,48.95,1395.05,0
1,0,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,48.95,119.5,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,49,518.9,1
1,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,49,3161.2,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,49,55.05,0
0,1,0,1,1,1,0,0,1,0,1,1,0,1,1,1,1,1,0,0,0,1,49.05,1882.55,0
0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,1,1,0,1,0,0,0,49.05,5070.4,0
0,1,0,0,1,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,1,49.05,1166.7,0
0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,49.1,2937.65,0
0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,49.15,6396.45,1
0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,49.15,69.55,1
1,0,0,1,1,1,0,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,49.15,759.55,0
0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,0,1,1,0,0,1,0,49.15,1545.4,0
0,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,49.2,2227.1,1
0,1,0,0,0,1,0,0,1,0,1,0,1,1,0,1,1,1,0,0,0,1,49.2,2494.65,0
1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,49.2,75.1,0
0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,1,0,1,0,0,49.2,1614.05,0
1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,1,49.2,385.9,1
1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,49.25,673.25,1
0,1,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,49.25,734.35,1
1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,49.25,55,1
1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,49.25,564.4,0
1,0,0,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,49.3,1315.35,0
0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,49.3,74.7,1
1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,49.35,1861.5,1
1,0,1,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,0,1,49.4,2747.2,0
0,1,0,1,1,1,0,0,0,1,0,1,1,1,1,1,0,1,0,0,0,1,49.4,554.05,0
1,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,49.4,453.4,1
0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,49.4,994.8,1
0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,49.4,1671.6,0
0,1,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,49.4,680.05,1
0,1,0,0,0,1,0,0,1,0,1,0,1,0,0,1,1,1,0,0,0,1,49.45,1415,0
1,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,49.45,74.35,1
0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,1,0,0,0,1,49.5,114.15,0
0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,49.5,139.4,1
1,0,0,1,0,1,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,49.5,1785.65,0
0,1,0,0,0,1,0,0,1,0,1,1,1,1,0,0,1,1,0,1,0,0,49.55,1238.45,1
0,1,0,1,1,1,0,0,0,0,1,1,0,1,1,0,0,1,0,1,0,0,49.55,4326.8,0
0,1,1,0,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,0,0,1,49.55,1782.4,1
1,0,0,0,1,1,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,49.55,851.8,0
1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,1,49.55,167.5,1
0,1,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,49.55,502.85,1
1,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,1,49.6,6300.15,0
0,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,49.6,334.8,1
0,1,0,0,0,1,0,0,1,0,1,0,1,0,1,1,1,1,0,1,0,0,49.6,5916.95,0
1,0,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,1,1,0,0,0,49.65,2852.4,0
1,0,0,0,0,1,0,0,1,0,1,0,0,1,1,1,1,0,0,1,0,0,49.65,4131.95,1
0,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,49.7,302.6,0
0,1,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,49.7,1929.35,1
1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,49.7,1442,0
1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,49.75,4713.4,0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,49.75,1758.6,1
1,0,0,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,0,0,0,1,49.8,3480,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,49.8,174.45,0
0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,1,49.8,85,1
1,0,0,0,0,1,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,1,49.8,1021.75,0
0,1,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,49.85,5029.05,0
0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,0,0,1,0,49.85,601.6,0
1,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,49.85,834.1,1
1,0,0,1,1,1,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,49.85,3266,1
1,0,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,49.9,2596.15,1
1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,49.9,760.05,0
1,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,49.9,49.3,0
1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,1,0,1,0,0,0,49.9,516.15,0
1,0,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,49.9,445.95,0
